aeg [s]	 asukoht [m]	 kiirus [km/h]	 kiirusepiirang [km/h]
506	258.12633982912274	9.999829306021844	10
507	258.40411286540115	9.99982337807397	10
508	258.6818857370143	9.999817445948967	10
509	258.9596584438462	9.999811510314139	10
510	259.2374309857994	9.999805571745954	10
511	259.51520336279236	9.999799630732571	10
512	259.7929755747572	9.999793687658586	10
513	260.0707476216366	9.99978774285814	10
514	260.34851950338265	9.999781796620061	10
515	260.6262912199554	9.999775849191966	10
516	260.9040627713219	9.999769900778329	10
517	261.1818341574546	9.999763951540285	10
518	261.4596053783307	9.999758001617243	10
519	261.73737643393116	9.999752051128445	10
520	262.0151473242403	9.999746100175933	10
521	262.29291804924515	9.999740148846318	10
522	262.5706886089353	9.999734197212302	10
523	262.8484590033023	9.999728245334824	10
524	263.12622923233937	9.99972229326431	10
525	263.40399929604115	9.999716341042248	10
526	263.68176919440344	9.999710388702452	10
527	263.95953892742295	9.999704436251054	10
528	264.2373084950966	9.999698483688057	10
529	264.5150778974213	9.999692531013464	10
530	264.79284713439387	9.999686578227267	10
531	265.07061620601127	9.999680625329473	10
532	265.3483851122704	9.99967467232008	10
533	265.6261538531682	9.999668719199088	10
534	265.9039224287015	9.999662765966493	10
535	266.1816908388672	9.999656812622302	10
536	266.4594590836623	9.999650859166511	10
537	266.73722716308356	9.99964490559912	10
538	267.014995077128	9.99963895192013	10
539	267.29276282579247	9.99963299812954	10
540	267.57053040907385	9.999627044227351	10
541	267.84829782696903	9.999621090215996	10
542	268.12606507947504	9.999615136104406	10
543	268.40383216658904	9.999609181901516	10
544	268.68159908830853	9.999603227616255	10
545	268.9593658446312	9.999597273257557	10
546	269.237132435555	9.999591318834351	10
547	269.51489886107817	9.999585364355573	10
548	269.79266512119915	9.999579409830153	10
549	270.07043121591664	9.999573441927392	10
550	270.34819714485906	9.999538721551012	10
551	270.6259621093466	9.999504001095652	10
552	270.90372610937703	9.999469280613393	10
553	271.18148914494964	9.999434560156317	10
554	271.45925121606507	9.999721432713914	10
555	271.73702125586266	9.99994142116927	10
556	272.01479740645067	10.000030286088107	10
557	272.29257602550865	9.99999989463574	10
558	272.57035380035967	9.999969190414593	10
559	272.8481307223156	9.999938275507047	10
560	273.12590678552414	9.999907229516934	10
561	273.40368198634405	9.999876103263535	10
562	273.68145632254584	9.999844929031493	10
563	273.9592297927967	9.999813737560308	10
564	274.2370023966178	9.999782537944235	10
565	274.5147741337829	9.999751334902788	10
566	274.7925450041969	9.999720130535005	10
567	275.07031500782284	9.999688925680825	10
568	275.3480841446473	9.999657720681437	10
569	275.62585241466627	9.99962651557045	10
570	275.9036198178766	9.999595310347866	10
571	276.1813863542751	9.99956410504033	10
572	276.45915202385953	9.999532899694648	10
573	276.7369168266288	9.999510357952294	10
574	277.0146810032386	9.999487814036872	10
575	277.2924445536285	9.999465269071598	10
576	277.5702074777694	9.99944272361034	10
577	277.8479697756474	9.999420177945689	10
578	278.125731447257	9.999397632171817	10
579	278.4034924925951	9.999375086322544	10
580	278.6812529116596	9.99935254043169	10
581	278.9590127044494	9.999329994533076	10
582	279.23677187096416	9.999307448660522	10
583	279.51453041120476	9.999284932283343	10
584	279.7922883259904	9.999360132054797	10
585	280.07004832965856	9.999435292972755	10
586	280.34781042113	9.999510319879558	10
587	280.6255745966822	9.999585198190033	10
588	280.9033408521875	9.999652820310184	10
589	281.181108986085	9.999716644827297	10
590	281.45887889288576	9.999774835002071	10
591	281.73665041608024	9.999827413725644	10
592	282.01442339979485	9.999871464705228	10
593	282.2921976071478	9.999909082162377	10
594	282.5699728594301	9.999939061831713	10
595	282.847748944481	9.999961627148672	10
596	283.1255256563462	9.999982064800633	10
597	283.403302935924	9.999993731105688	10
598	283.6810805395658	10.000000446121483	10
599	283.95885832973585	10.00000227154098	10
600	284.236636170612	10.000003518399518	10
601	284.5144140461231	10.000004216708144	10
602	284.79219194103166	10.000004396518552	10
603	285.06996984093496	10.00000408440055	10
604	285.34774773216833	10.000003305866965	10
605	285.62552560177573	10.000002088480212	10
606	285.9033034375669	10.000000465933296	10
607	286.18108122828727	9.999998478727731	10
608	286.4588589638075	9.99999614937095	10
609	286.7366366346233	9.999993499247703	10
610	287.0144142318247	9.999990549041383	10
611	287.29219174707583	9.999987318383093	10
612	287.56996917258647	9.999983825728899	10
613	287.8477465010789	9.99998008839701	10
614	288.12552372575664	9.999976122572264	10
615	288.40330084027255	9.999971943560594	10
616	288.68107783870477	9.999967565682063	10
617	288.95885471552924	9.999963002279468	10
618	289.23663146559255	9.999958266493108	10
619	289.51440808410626	9.999953371729951	10
620	289.7921845666543	9.999948330611772	10
621	290.0699609091713	9.999943154949628	10
622	290.3477371079199	9.99993785576897	10
623	290.62551315946905	9.99993244337151	10
624	290.90328906067384	9.99992692733621	10
625	291.1810648086554	9.999921322593261	10
626	291.4588404009496	9.999915637071668	10
627	291.7366158353127	9.999909878081404	10
628	292.01439110970387	9.999904052348201	10
629	292.2921662222691	9.999898166047329	10
630	292.569941171326	9.99989222483886	10
631	292.84771595534926	9.999886233893472	10
632	293.1254905729574	9.999880220972432	10
633	293.40326502354	10.002694665248713	10
634	293.68111765313023	9.849505658514094	10
635	293.9547150325334	9.72500155228088	10
636	294.2248539645412	9.168336504130659	10
637	294.4795299785448	9.434379986869622	10
638	294.7415960892912	9.70858431442282	10
639	295.011278986914	10.075565558121017	10
640	295.2911558079729	9.692091054815775	10
641	295.56038055949557	9.644254477137276	10
642	295.82827651719384	7.877893084249567	10
643	296.04710688064523	8.921893065550982	10
644	296.2949372435772	9.965893065550983	10
645	296.5717676065091	11.009893065550981	10
646	296.8775979694411	12.05389306555098	10
647	297.2124283323731	13.097893065550108	10
648	297.57625869530506	14.141893065550109	10
649	297.969089058237	15.185893065550076	10
650	298.3909194211689	16.229893065550076	10
651	298.84174978410084	17.273893065550073	10
